City,District,Location,BHK,Bathrooms,Floors,Area_Anna,Road_Width_Ft,Price_NPR
Lalitpur,Lalitpur,Imadol,5.0,4.0,3.0,4.0,12.0,29000000.0
Lalitpur,Lalitpur,Satdobato,5.0,6.0,4.5,3.0,10.0,47500000.0
Lalitpur,Lalitpur,Imadol,4.0,4.0,2.5,2.3,10.0,19900000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,3.0,2.5,7.0,12.0,40000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,3.0,2.5,3.2,13.0,33000000.0
Kathmandu,Kathmandu,Budhanilkantha,5.0,4.0,2.5,4.3,14.0,40000000.0
Kathmandu,Kathmandu,Gyaneshwor,13.0,5.0,5.5,2.2,10.0,45000000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,5.0,3.0,5.0,12.0,30000000.0
Lalitpur,Lalitpur,Imadol,6.0,5.0,3.0,5.2,13.0,49900000.0
Kathmandu,Kathmandu,Kharibot,4.0,2.0,2.5,3.0,16.0,24500000.0
Kathmandu,Kathmandu,Bafal,4.0,5.0,4.0,4.0,13.0,25000000.0
Lalitpur,Lalitpur,Khumaltar,4.0,4.0,2.5,4.0,20.0,42500000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,6.2,12.0,65000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,4.2,13.0,36000000.0
Lalitpur,Lalitpur,Khumaltar,6.0,6.0,3.5,5.0,14.0,58000000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,7.0,3.5,3.2,12.0,25000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,4.0,3.0,5.2,16.0,48000000.0
Kathmandu,Kathmandu,Tahachal,4.0,5.0,3.0,4.1,20.0,66500000.0
Kathmandu,Kathmandu,Dhapasi,5.0,5.0,2.5,9.6,14.0,133000000.0
Lalitpur,Lalitpur,Thecho,5.0,7.0,3.5,7.0,12.0,85000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,5.0,12.0,55000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,4.0,2.5,3.1,20.0,47500000.0
Lalitpur,Lalitpur,Imadol,5.0,4.0,3.0,3.2,13.0,29500000.0
Lalitpur,Lalitpur,Sanepa,5.0,3.0,2.5,5.0,10.0,63500000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,6.0,2.5,7.0,13.0,85000000.0
Kathmandu,Kathmandu,Maharajgunj,4.0,4.0,2.5,11.0,12.0,105000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,4.0,2.5,7.0,26.0,64000000.0
Lalitpur,Lalitpur,Sunakothi,3.0,4.0,2.5,4.0,20.0,35000000.0
Kathmandu,Kathmandu,Kapan,6.0,5.0,2.5,3.0,16.0,22000000.0
Lalitpur,Lalitpur,Dhobighat,4.0,4.0,2.5,3.0,16.0,37500000.0
Lalitpur,Lalitpur,Hattiban,5.0,4.0,2.0,6.0,20.0,80000000.0
Lalitpur,Lalitpur,Satdobato,6.0,7.0,3.5,4.2,13.0,55000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,4.0,2.5,3.3,13.0,55000000.0
Lalitpur,Lalitpur,Sanepa,5.0,5.0,2.5,9.0,20.0,77500000.0
Kathmandu,Kathmandu,Budhanilkantha,7.0,7.0,2.5,12.0,13.0,160000000.0
Lalitpur,Lalitpur,Imadol,5.0,3.0,2.5,4.1,13.0,31900000.0
Kathmandu,Kathmandu,Sitapaila,4.0,3.0,2.5,3.0,13.0,25000000.0
Kaski,Kaski,Pokhara,4.0,4.0,2.5,11.0,20.0,120000000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,6.0,2.5,6.4,13.0,62500000.0
Kathmandu,Kathmandu,Budhanilkantha,7.0,7.0,2.5,12.0,12.0,160000000.0
Lalitpur,Lalitpur,Hattiban,4.0,4.0,2.5,2.2,12.0,28000000.0
Lalitpur,Lalitpur,Imadol,5.0,5.0,2.5,7.0,20.0,59900000.0
Lalitpur,Lalitpur,Bhaisepati,6.0,4.0,2.5,5.0,25.0,48000000.0
Lalitpur,Lalitpur,Imadol,5.0,3.0,3.0,3.1,13.0,25000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,4.0,18.0,40000000.0
